Nuclide,C m2 / kg MBq s,f-factor (cGy/R),HVL,QVL,TVL,CVL,MVL,R/s at 1m
Te-133,1.22E-12,0.964,8.46,20.8,38.1,83.9,131,4.729E-09
I-119,1.08E-12,0.958,3.1,7.76,14.6,37.3,74,4.186E-09
I-120,2.65E-12,0.962,9.31,20.9,40.3,92.3,144,1.027E-08
I-121,5.69E-13,0.948,1,3.73,10.5,32.3,64.8,2.205E-09
I-123,3.46E-13,0.942,0.0667,0.442,1.12,11.1,27.1,1.341E-09
I-124,1.28E-12,0.953,7.2,15.9,30.5,76.5,124,4.961E-09
I-125,3.38E-13,0.921,0.0211,0.039,0.0623,0.124,0.193,1.310E-09
I-126,5.57E-13,0.95,3.98,9.57,17.5,39,62.7,2.159E-09
I-129,1.34E-13,0.922,0.0269,0.0499,0.0805,0.166,0.272,5.194E-10
I-131,4.26E-13,0.963,2.74,5.59,9.93,25.9,45.3,1.651E-09
I-132,2.42E-12,0.965,8.93,17.4,28.9,62.3,102,9.380E-09
I-135,1.56E-12,0.965,14.9,28.6,46.1,89.4,133,6.047E-09
Xe-120,6.94E-13,0.937,1.03,6.67,16.4,42.4,69.7,2.690E-09
Xe-121,1.54E-12,0.955,7.68,18.6,37.7,89.7,141,5.969E-09
Xe-122,2.09E-13,0.928,0.0352,0.116,2.39,10.1,18.3,8.101E-10
Xe-123,7.88E-13,0.949,3.88,11.6,25.7,69.3,115,3.054E-09
Xe-129,2.38E-13,0.948,0.15,0.465,0.907,2.15,3.46,9.225E-10
Xe-131,2.42E-13,0.923,0.0283,0.0536,0.0938,1.27,3.22,9.380E-10
Xe-133,1.10E-13,0.935,0.0379,0.0982,0.4,1.35,2.29,4.264E-10
Xe-135,2.67E-13,0.963,1.16,2.32,4.19,18.3,36.9,1.035E-09
Xe-138,1.06E-12,0.963,13.1,29.7,50.6,101,150,4.109E-09
Cs-125,8.92E-13,0.953,4.79,10.2,18.2,52,99.8,3.457E-09
Cs-131,1.31E-13,0.921,0.0262,0.0481,0.0765,0.15,0.226,5.078E-10
Cs-132,8.90E-13,0.947,5.9,12.6,21.1,42.5,66.6,3.450E-09
Cs-134,1.70E-12,0.965,8.04,15.4,25.1,50.9,79.5,6.589E-09
Cs-135,6.55E-14,0.933,0.0392,0.0941,0.345,1.11,1.88,2.539E-10
Cs-136,2.25E-12,0.963,10.1,20.5,33.8,66.7,99.9,8.721E-09
Cs-137,2.25E-12,0.963,10.1,20.5,33.8,66.7,99.9,8.721E-09
Ba-124,7.09E-13,0.947,4.11,11,22.2,56.6,93.2,2.748E-09
Ba-126,7.13E-13,0.946,4.45,13.5,26.8,61.5,96.9,2.764E-09
Ba-128,1.68E-13,0.929,0.0436,0.24,1.83,5.99,10.6,6.512E-10
Ba-129,4.38E-13,0.943,3,8.82,18.5,60.1,107,1.698E-09
Ba-131,6.38E-13,0.946,1.8,5.78,11.8,30,56.2,2.473E-09
Ba-133,5.89E-13,0.943,0.819,2.84,5.65,12.7,19.9,2.283E-09
Ba-135,1.37E-13,0.932,0.0693,0.849,2.5,6.49,10.4,5.310E-10
Ba-139,4.91E-14,0.957,0.496,1.04,2.44,46.1,88.9,1.903E-10
Ba-140,2.21E-13,0.953,3.46,8.01,13.9,28.6,43,8.566E-10
Ba-141,9.67E-13,0.963,5.72,15.7,31.6,74.4,118,3.748E-09
Ba-142,1.11E-12,0.959,9.43,20.8,35.1,70.3,105,4.302E-09
La-132,2.08E-12,0.959,7.72,17.3,34.7,84.6,135,8.062E-09
La-133,2.57E-13,0.933,1.32,5.88,13.1,34.9,64.6,9.961E-10
La-135,1.30E-13,0.923,0.0329,0.0685,0.19,15.6,36.7,5.039E-10
La-137,1.15E-13,0.922,0.0283,0.054,0.0881,0.177,0.272,4.457E-10
La-138,1.27E-12,0.953,14.2,27.7,45.1,87.8,129,4.922E-09
La-140,2.26E-12,0.965,13.7,28.1,46.8,93.2,138,8.760E-09
La-142,2.12E-12,0.964,16.5,32.6,53.8,107,158,8.217E-09
